Freeboard Mean (m),Displacement (Mg)
4.3,0
4.275,25
4.25,50
4.225,76
4.2,102
4.175,127
4.15,153
4.125,179
4.1,205
4.075,232
4.05,259
4.025,285
4.0,312
3.975,339
3.95,366
3.925,394
3.9,421
3.875,449
3.85,477
3.825,505
3.8,532
3.775,560
3.75,588
3.725,616
3.7,645
3.675,673
3.65,701
3.625,729
3.6,757
3.575,786
3.55,814
3.525,843
3.5,871
3.475,900
3.45,928
3.425,957
3.4,986
3.375,1014
3.35,1043
3.325,1072
3.3,1101
3.275,1130
3.25,1159
3.225,1188
3.2,1217
3.175,1246
3.15,1275
3.125,1304
3.1,1334
3.075,1363
3.05,1392
3.025,1422
3.0,1451
2.975,1481
2.95,1510
2.925,1539
2.9,1569
2.875,1599
2.85,1628
2.825,1658
2.8,1688
2.775,1718
2.75,1747
2.725,1777
2.7,1807
2.675,1837
2.65,1867
2.625,1897
2.6,1927
2.575,1957
2.55,1987
2.525,2018
2.5,2048
2.475,2078
2.45,2108
2.425,2139
2.4,2169
2.375,2200
2.35,2230
2.325,2261
2.3,2291
2.275,2322
2.25,2352
2.225,2383
2.2,2414
2.175,2445
2.15,2476
2.125,2507
2.1,2537
2.075,2568
2.05,2599
2.025,2630
2.0,2661
1.975,2692
1.95,2723
1.925,2755
1.9,2786
1.875,2817
1.85,2848
1.825,2880
1.8,2911
1.775,2942
1.75,2974
1.725,3005
1.7,3037
1.675,3068
1.65,3100
1.625,3132
1.6,3163
1.575,3195
1.55,3227
1.525,3258
1.5,3290
1.475,3322
1.45,3354
1.425,3386
1.4,3418
1.375,3450
1.35,3482
1.325,3514
1.3,3546
1.275,3578
1.25,3610
1.225,3643
1.2,3675
1.175,3707
1.15,3740
1.125,3772
1.1,3804
1.075,3837
1.05,3869
1.025,3902
1.0,3935
0.975,3967
0.95,4000
0.925,4033
0.9,4065
0.875,4098
0.85,4131
0.825,4164
0.8,4197
0.775,4229
0.75,4262
0.725,4295
0.7,4328
0.675,4361
0.65,4394
0.625,4427
0.6,4460
0.575,4493
0.55,4526
0.525,4559
0.5,4592
0.475,4625
0.45,4658
0.425,4691
0.4,4724
0.375,4757
0.35,4790
0.325,4823
0.3,4856
