Freeboard Mean (m),Displacement (Mg)
3.527,847
3.502,877
3.477,906
3.451,936
3.426,966
3.4,996
3.375,"1,025"
3.35,"1,055"
3.324,1085
3.299,"1,115"
3.273,"1,145"
3.248,1175
3.223,"1,205"
3.197,"1,236"
3.172,1266
3.146,1296
3.121,1327
3.096,"1,357"
3.07,"1,387"
3.045,"1,418"
3.019,"1,448"
2.994,"1,479"
2.969,"1,510"
2.943,"1,540"
2.918,"1,571"
2.892,"1,602"
2.867,"1,633"
2.842,"1,663"
2.816,"1,694"
2.791,"1,725"
2.765,"1,756"
2.74,"1,787"
2.715,"1,818"
2.689,"1,849"
2.664,"1,881"
2.638,"1,912"
2.613,"1,943"
2.588,"1,974"
2.562,"2,006"
2.537,"2,037"
2.511,"2,069"
2.486,"2,100"
2.461,"2,132"
2.435,"2,163"
2.41,"2,195"
2.384,"2,226"
2.359,"2,258"
2.334,"2,290"
2.308,"2,322"
2.283,"2,353"
2.257,"2,385"
2.232,"2,417"
2.207,"2,449"
2.181,"2,481"
2.156,"2,513"
2.13,"2,545"
2.105,"2,577"
2.08,"2,610"
2.054,"2,642"
2.029,"2,674"
2.003,"2,706"
1.978,"2,739"
1.953,"2,771"
1.927,"2,803"
1.902,"2,836"
1.876,"2,868"
1.851,"2,901"
1.826,"2,933"
1.8,"2,966"
1.775,"2,999"
1.749,"3,031"
1.724,"3,064"
1.699,"3,097"
1.673,"3,130"
1.648,"3,163"
1.622,"3,195"
1.597,"3,228"
1.572,"3,261"
1.546,"3,294"
1.521,"3,327"
1.495,"3,360"
1.47,"3,394"
1.445,"3,427"
1.419,"3,460"
1.394,"3,493"
1.368,"3,527"
1.343,"3,560"
1.318,"3,593"
1.292,"3,627"
1.267,"3,660"
1.241,"3,694"
1.216,"3,727"
1.191,"3,761"
1.165,"3,794"
1.14,"3,828"
1.114,"3,861"
1.089,"3,895"
1.064,"3,929"
1.038,"3,962"
1.013,"3,996"
0.987,"4,029"
0.962,"4,063"
0.937,"4,097"
0.911,"4,130"
0.886,"4,164"
0.86,"4,198"
0.835,"4,232"
0.81,"4,265"
0.784,"4,299"
0.759,"4,333"
0.733,"4,366"
0.708,"4,400"
0.683,"4,434"
0.657,"4,467"
0.632,"4,501"
0.606,"4,535"
0.581,"4,569"
0.556,"4,602"
0.53,"4,636"
0.505,"4,670"
0.479,"4,703"
0.454,"4,737"
0.429,"4,771"
0.403,"4,805"
0.378,"4,838"
0.352,"4,872"
0.327,"4,906"
0.302,"4,939"
0.276,"4,973"
0.251,"5,007"
0.225,"5,040"
